iter	Passed	Remaining
375	639	1061
376	641	1059
377	642	1057
378	644	1055
379	646	1054
380	647	1052
381	649	1050
382	650	1048
383	652	1046
384	653	1044
385	655	1042
386	657	1041
387	660	1041
388	661	1039
389	663	1038
390	665	1036
391	667	1034
392	669	1033
393	671	1032
394	673	1030
395	674	1029
396	676	1027
397	678	1025
398	679	1023
399	681	1021
400	682	1019
401	684	1018
402	686	1016
403	688	1015
404	689	1012
405	690	1010
406	691	1008
407	693	1006
408	694	1004
409	696	1002
410	698	1001
411	700	999
412	702	997
413	703	995
414	705	993
415	706	992
416	708	990
417	710	988
418	711	987
419	713	985
420	715	983
421	716	981
422	718	979
423	720	978
424	721	976
425	723	974
426	724	972
427	726	970
428	728	969
429	729	967
430	731	965
431	732	963
432	734	962
433	736	961
434	738	959
435	740	957
436	741	955
437	743	953
438	745	952
439	746	950
440	748	948
441	749	946
442	751	944
443	752	942
444	755	941
445	756	939
446	757	937
447	759	935
448	760	933
449	762	931
450	764	930
451	765	928
452	767	926
453	768	924
454	770	922
455	772	921
456	774	919
457	775	917
458	778	917
459	779	915
460	781	913
461	782	911
462	784	909
463	786	908
464	788	906
465	789	905
466	791	903
467	793	902
468	795	900
469	796	898
470	799	897
471	801	896
472	802	894
473	805	893
474	807	892
475	809	890
476	810	889
477	812	887
478	814	885
479	816	884
480	817	882
481	819	880
482	821	879
483	822	877
484	824	875
485	826	873
486	827	871
487	828	869
488	830	867
489	832	866
490	834	865
491	836	863
492	838	861
493	839	859
494	841	858
495	843	857
496	845	855
497	847	854
498	849	852
499	850	850
500	852	849
501	854	847
502	855	845
503	857	843
504	858	841
505	860	840
506	863	839
507	865	837
508	866	836
509	868	834
510	870	832
511	872	831
512	874	829
513	875	828
514	878	826
515	879	825
516	881	823
517	883	822
518	884	820
519	886	818
520	888	816
521	889	814
522	891	813
523	893	811
524	894	809
525	896	807
526	897	805
527	899	804
528	900	802
529	902	800
530	904	798
531	905	796
532	907	795
533	909	793
534	910	791
535	913	790
536	915	789
537	917	788
538	919	786
539	921	784
540	922	782
541	924	780
542	926	779
543	928	778
544	930	776
545	932	775
546	933	773
547	935	771
548	936	769
549	938	767
550	939	765
551	941	764
552	942	762
553	944	760
554	946	758
555	947	756
556	949	754
557	950	752
558	951	750
559	953	749
560	954	747
561	956	745
562	957	743
563	959	741
564	961	739
565	963	738
566	965	737
567	967	735
568	968	733
569	970	732
570	972	730
571	973	728
572	975	726
573	976	724
574	978	723
575	980	721
576	982	720
577	984	718
578	986	717
579	988	715
580	989	713
581	991	711
582	992	710
583	994	708
584	995	706
585	997	704
586	998	702
587	1000	700
588	1002	699
589	1004	697
590	1005	696
591	1007	694
592	1009	692
593	1011	691
594	1012	689
595	1014	687
596	1015	685
597	1017	683
598	1018	682
599	1020	680
600	1022	678
601	1023	676
602	1026	675
603	1027	673
604	1030	672
605	1032	671
606	1033	669
607	1035	667
608	1037	665
609	1038	664
610	1040	662
611	1041	660
612	1043	658
613	1044	656
614	1046	655
615	1047	653
616	1049	651
617	1051	649
618	1052	647
619	1054	646
620	1055	644
621	1057	642
622	1059	641
623	1061	639
624	1063	637
625	1065	636
626	1067	634
627	1068	633
628	1070	631
629	1071	629
630	1073	627
631	1074	625
632	1076	624
633	1077	622
634	1079	620
635	1081	618
636	1083	617
637	1085	615
638	1087	614
639	1088	612
640	1090	610
641	1092	609
642	1094	607
643	1096	606
644	1098	604
645	1101	603
646	1103	601
647	1105	600
648	1108	599
649	1110	597
650	1111	595
651	1113	594
652	1114	592
653	1116	590
654	1118	588
655	1119	587
656	1121	585
657	1122	583
658	1124	581
659	1126	580
660	1127	578
661	1129	576
662	1130	574
663	1132	573
664	1135	571
665	1136	570
666	1138	568
667	1140	566
668	1142	565
669	1144	563
670	1145	561
671	1147	559
672	1148	558
673	1151	556
674	1152	555
675	1154	553
676	1156	551
677	1157	549
678	1160	548
679	1161	546
680	1162	544
681	1165	543
682	1166	541
683	1168	539
684	1169	537
685	1171	536
686	1173	534
687	1175	532
688	1176	531
689	1178	529
690	1179	527
691	1181	525
692	1183	524
693	1185	522
694	1187	521
695	1188	519
696	1190	517
697	1191	515
698	1195	514
699	1196	512
700	1198	511
701	1199	509
702	1201	507
703	1203	505
704	1205	504
705	1206	502
706	1208	500
707	1210	499
708	1211	497
709	1214	496
710	1216	494
711	1217	492
712	1219	490
713	1221	489
714	1223	487
715	1224	485
716	1226	484
717	1228	482
718	1229	480
719	1231	478
720	1232	477
721	1234	475
722	1236	473
723	1237	471
724	1239	470
725	1241	468
726	1243	466
727	1244	465
728	1246	463
729	1248	461
730	1249	459
731	1251	458
732	1252	456
733	1254	454
734	1256	453
735	1258	451
736	1260	449
737	1262	448
738	1263	446
739	1265	444
740	1267	443
741	1268	441
742	1270	439
743	1272	437
744	1273	435
745	1275	434
746	1277	432
747	1279	431
748	1281	429
749	1282	427
750	1284	425
751	1285	423
752	1287	422
753	1288	420
754	1290	418
755	1292	417
756	1293	415
757	1295	413
758	1296	411
759	1299	410
760	1300	408
761	1302	406
762	1303	405
763	1305	403
764	1307	401
765	1308	399
766	1310	398
767	1312	396
768	1313	394
769	1315	392
770	1317	391
771	1319	389
772	1320	387
773	1323	386
774	1324	384
775	1326	382
776	1327	381
777	1329	379
778	1330	377
779	1332	375
780	1333	374
781	1335	372
782	1337	370
783	1338	368
784	1340	367
785	1342	365
786	1344	363
787	1345	362
788	1347	360
789	1349	358
790	1351	357
791	1353	355
792	1354	353
793	1356	351
794	1358	350
795	1360	348
796	1361	346
797	1363	345
798	1364	343
799	1366	341
800	1368	339
801	1370	338
802	1371	336
803	1373	334
804	1374	333
805	1376	331
806	1378	329
807	1379	327
808	1381	326
809	1383	324
810	1384	322
811	1386	320
812	1387	319
813	1389	317
814	1390	315
815	1392	313
816	1394	312
817	1396	310
818	1397	308
819	1399	307
820	1401	305
821	1402	303
822	1404	302
823	1405	300
824	1407	298
825	1409	296
826	1411	295
827	1413	293
828	1415	292
829	1417	290
830	1419	288
831	1420	286
832	1422	285
833	1424	283
834	1425	281
835	1427	279
836	1428	278
837	1430	276
838	1432	274
839	1434	273
840	1436	271
841	1438	270
842	1441	268
843	1442	266
844	1444	265
845	1446	263
846	1447	261
847	1449	259
848	1450	258
849	1452	256
850	1454	254
851	1455	252
852	1457	251
853	1459	249
854	1460	247
855	1462	245
856	1463	244
857	1465	242
858	1466	240
859	1468	239
860	1470	237
861	1471	235
862	1473	233
863	1475	232
864	1476	230
865	1479	228
866	1481	227
867	1483	225
868	1485	223
869	1487	222
870	1488	220
871	1491	218
872	1492	217
873	1494	215
874	1496	213
875	1497	212
876	1499	210
877	1501	208
878	1503	206
879	1504	205
880	1506	203
881	1508	201
882	1509	200
883	1511	198
884	1513	196
885	1514	194
886	1516	193
887	1518	191
888	1519	189
889	1521	188
890	1522	186
891	1524	184
892	1525	182
893	1528	181
894	1530	179
895	1531	177
896	1533	176
897	1534	174
898	1536	172
899	1538	170
900	1540	169
901	1541	167
902	1543	165
903	1544	164
904	1547	162
905	1549	160
906	1550	159
907	1552	157
908	1553	155
909	1555	153
910	1557	152
911	1558	150
912	1560	148
913	1562	146
914	1564	145
915	1566	143
916	1567	141
917	1569	140
918	1570	138
919	1572	136
920	1573	134
921	1575	133
922	1577	131
923	1579	129
924	1581	128
925	1584	126
926	1585	124
927	1587	123
928	1588	121
929	1590	119
930	1591	117
931	1593	116
932	1595	114
933	1597	112
934	1598	111
935	1599	109
936	1601	107
937	1603	105
938	1604	104
939	1606	102
940	1608	100
941	1609	99
942	1611	97
943	1612	95
944	1614	93
945	1616	92
946	1617	90
947	1619	88
948	1621	87
949	1623	85
950	1624	83
951	1626	82
952	1628	80
953	1629	78
954	1631	76
955	1633	75
956	1634	73
957	1636	71
958	1637	70
959	1639	68
960	1641	66
961	1642	64
962	1644	63
963	1645	61
964	1648	59
965	1649	58
966	1651	56
967	1653	54
968	1654	52
969	1656	51
970	1657	49
971	1659	47
972	1661	46
973	1662	44
974	1664	42
975	1666	40
976	1667	39
977	1669	37
978	1670	35
979	1672	34
980	1673	32
981	1675	30
982	1677	29
983	1679	27
984	1680	25
985	1682	23
986	1684	22
987	1685	20
988	1687	18
989	1688	17
990	1690	15
991	1692	13
992	1693	11
993	1697	10
994	1698	8
995	1700	6
996	1701	5
997	1703	3
998	1705	1
999	1706	0
