iter	RMSE
213	3907.147362
214	3906.912299
215	3906.044445
216	3906.03766
217	3905.68775
218	3905.245519
219	3904.780258
220	3904.431535
221	3904.413737
222	3903.787555
223	3903.495561
224	3903.217086
225	3903.198807
226	3903.119845
227	3902.852787
228	3902.835489
229	3902.831244
230	3902.415084
231	3901.64133
232	3901.239173
233	3901.200342
234	3900.900226
235	3900.583523
236	3900.336283
237	3899.967869
238	3899.829407
239	3899.58679
240	3899.252641
241	3899.116838
242	3898.757577
243	3898.534789
244	3898.298282
245	3897.661036
246	3897.292063
247	3897.144167
248	3897.008512
249	3896.849689
250	3896.847002
251	3896.682851
252	3896.246038
253	3896.242821
254	3896.210841
255	3896.195678
256	3895.678238
257	3895.557607
258	3894.857218
259	3894.539987
260	3894.202618
261	3893.917295
262	3893.271425
263	3893.026539
264	3892.927919
265	3892.658557
266	3892.656441
267	3891.962078
268	3891.729422
269	3891.339769
270	3891.097837
271	3890.801301
272	3890.799489
273	3890.761602
274	3890.725526
275	3890.507893
276	3890.16998
277	3890.034781
278	3890.033044
279	3889.87649
280	3889.849517
281	3889.628657
282	3889.213001
283	3888.784496
284	3888.324777
285	3888.300329
286	3888.067151
287	3887.741281
288	3887.628742
289	3887.386567
290	3887.140388
291	3887.119452
292	3887.117839
293	3887.111648
294	3886.986613
295	3886.882247
296	3886.877885
297	3886.876566
298	3886.368241
299	3885.928884
300	3885.737772
301	3885.553727
302	3885.134801
303	3884.906126
304	3884.673966
305	3884.617329
306	3883.611423
307	3882.609905
308	3882.325632
309	3882.107882
310	3882.080023
311	3882.013446
312	3881.874632
313	3881.132904
314	3881.046786
315	3880.790951
316	3880.456692
317	3880.319664
318	3880.027811
319	3879.701782
320	3879.700457
321	3879.554013
322	3879.396363
323	3879.169001
324	3879.006371
325	3878.807523
326	3878.687067
327	3878.446105
328	3877.95049
329	3877.823596
330	3877.764424
331	3877.070393
332	3876.883952
333	3876.476169
334	3876.471719
335	3876.3417
336	3875.626818
337	3875.47567
338	3874.775812
339	3874.669819
340	3874.328462
341	3874.087645
342	3873.674599
343	3873.454079
344	3873.209102
345	3872.688772
346	3872.042376
347	3871.586091
348	3871.330457
349	3871.154932
350	3870.935431
351	3870.811536
352	3870.362431
353	3869.942809
354	3869.85718
355	3869.533918
356	3869.530803
357	3869.35218
358	3869.332357
359	3869.085359
360	3868.714123
361	3868.462514
362	3868.337243
363	3868.018268
364	3868.016571
365	3867.863251
366	3867.70477
367	3867.331889
368	3867.22422
369	3867.009708
370	3866.830225
371	3866.665776
372	3866.412242
373	3865.821119
374	3865.446
375	3865.435596
376	3865.14507
377	3864.872741
378	3864.863168
379	3864.161449
380	3864.065499
381	3863.937735
382	3863.550237
383	3863.209897
384	3863.02849
385	3862.845746
386	3862.709986
387	3862.628942
388	3862.185297
389	3861.781805
390	3861.774847
391	3861.603114
392	3861.24964
393	3861.125574
394	3860.627835
395	3860.52682
396	3860.267126
397	3860.036328
398	3859.860291
399	3859.707262
400	3859.259156
401	3859.040119
402	3858.91912
403	3858.315015
404	3858.313883
405	3858.289641
406	3858.061761
407	3857.884038
408	3857.439287
409	3857.243104
410	3857.239818
411	3857.029205
412	3856.725776
413	3856.441798
414	3855.816142
415	3855.609996
416	3855.478885
417	3855.284161
418	3854.975892
419	3854.745207
420	3854.463373
421	3854.305333
422	3853.963292
423	3853.831425
424	3853.650804
425	3853.032163
426	3852.812747
427	3852.395107
428	3852.107988
429	3851.828674
430	3851.676609
431	3851.520754
432	3851.219886
433	3851.09981
434	3850.713043
435	3850.582075
436	3850.456399
437	3850.271178
438	3849.959031
439	3849.784896
440	3849.628469
441	3849.54134
442	3849.379683
443	3849.121763
444	3848.963603
445	3848.681928
446	3848.595038
447	3848.16758
448	3848.124838
449	3847.890078
450	3847.52486
451	3847.25058
452	3847.162497
453	3846.951465
454	3846.724905
455	3846.631386
456	3846.566743
457	3846.461245
458	3846.215177
459	3846.058226
460	3845.951493
461	3845.688175
462	3845.334956
463	3845.119388
464	3844.91027
465	3844.682688
466	3844.558895
467	3844.338686
468	3844.153449
469	3843.928789
470	3843.517346
471	3842.941984
472	3842.632942
473	3842.227118
474	3841.830165
475	3841.394079
476	3841.320332
477	3841.095497
478	3840.915439
479	3840.813005
480	3840.776228
481	3840.534101
482	3839.971773
483	3839.844712
484	3839.788728
485	3839.262541
486	3838.813778
487	3838.696796
488	3838.633055
489	3838.412819
490	3838.061519
491	3837.663817
492	3837.297334
493	3837.02745
494	3836.818456
495	3836.461204
496	3836.361433
497	3836.193669
498	3835.92339
499	3835.850194
500	3835.686122
501	3835.624039
502	3835.092932
503	3834.752866
504	3834.653695
505	3834.566991
506	3834.469926
507	3834.34824
508	3834.156807
509	3833.869877
510	3833.808823
511	3833.154652
512	3832.887716
513	3832.829226
514	3832.716704
515	3832.305154
516	3832.058239
517	3831.792062
518	3831.658515
519	3831.46695
520	3831.452136
521	3831.439747
522	3831.350466
523	3830.982246
524	3830.821649
525	3830.733732
526	3830.235332
527	3830.051389
528	3829.904684
529	3829.810271
530	3829.792137
531	3829.648893
532	3829.469252
533	3829.396926
534	3829.289926
535	3829.235844
536	3829.008
537	3828.74606
538	3828.592011
539	3828.416144
540	3828.018639
541	3827.812291
542	3827.650036
543	3827.490501
544	3827.18829
545	3827.08953
546	3826.961659
547	3826.669456
548	3826.619569
549	3826.357206
550	3826.230813
551	3825.903759
552	3825.730366
553	3825.616469
554	3825.283456
555	3824.880671
556	3824.718457
557	3824.413261
558	3824.399447
559	3824.223504
560	3823.706012
561	3823.133771
562	3822.822774
563	3822.672886
564	3822.577696
565	3822.384281
566	3822.16214
567	3822.004247
568	3821.783315
569	3821.670314
570	3821.536189
571	3821.410981
572	3821.371503
573	3820.852609
574	3820.544332
575	3820.428637
576	3820.255471
577	3820.029847
578	3819.83625
579	3819.824132
580	3819.655638
581	3819.26936
582	3819.123038
583	3819.102904
584	3819.027079
585	3818.848958
586	3818.670517
587	3818.412069
588	3818.364213
589	3818.150224
590	3818.130442
591	3818.011611
592	3817.798663
593	3817.65982
594	3817.360069
595	3817.133214
596	3817.086308
597	3816.864514
598	3816.707605
599	3816.314624
600	3816.226316
601	3815.788175
602	3815.715606
603	3815.554389
604	3815.387424
605	3815.175452
606	3814.771533
607	3814.725177
608	3814.308903
609	3814.181763
610	3813.959668
611	3813.816042
612	3813.682464
613	3813.660118
614	3813.391601
615	3812.954197
616	3812.878491
617	3812.825869
618	3812.694891
619	3812.500474
620	3812.410569
621	3812.334163
622	3812.138375
623	3812.089582
624	3811.968086
625	3811.391865
626	3811.284556
627	3811.173118
628	3810.907235
629	3810.610296
630	3810.160917
631	3809.727824
632	3809.400109
633	3809.22143
634	3808.997535
635	3808.920617
636	3808.826765
637	3808.762538
638	3808.5987
639	3808.372704
640	3808.102321
641	3808.044135
642	3807.892093
643	3807.698058
644	3807.590475
645	3807.55976
646	3807.172911
647	3807.011427
648	3806.919062
649	3806.872723
650	3806.551985
651	3806.439389
652	3806.008499
653	3805.651036
654	3805.402112
655	3804.858478
656	3804.758915
657	3804.490491
658	3804.351512
659	3804.195906
660	3804.193551
661	3803.898485
662	3803.845046
663	3803.392524
664	3803.13296
665	3803.075943
666	3802.948959
667	3802.940255
668	3802.448999
669	3802.247929
670	3802.167926
671	3802.038521
672	3801.978825
673	3801.49172
674	3801.251734
675	3800.937752
676	3800.883251
677	3800.548345
678	3800.514813
679	3800.295068
680	3800.293441
681	3799.972993
682	3799.366885
683	3799.114233
684	3798.790411
685	3798.4852
686	3798.340398
687	3798.174998
688	3798.050652
689	3797.891313
690	3797.527453
691	3797.133444
692	3797.018049
693	3796.786307
694	3796.760186
695	3796.40938
696	3796.113298
697	3796.090221
698	3795.807496
699	3795.676409
700	3795.616737
701	3795.40494
702	3795.350157
703	3795.246878
704	3794.987814
705	3794.852157
706	3794.738291
707	3794.709438
708	3794.621816
709	3794.349709
710	3794.093429
711	3793.986669
712	3793.839686
713	3793.467532
714	3793.333876
715	3792.876241
716	3792.694412
717	3792.48229
718	3792.302675
719	3792.137704
720	3792.008001
721	3791.769078
722	3791.72059
723	3791.516873
724	3791.340227
725	3790.954418
726	3790.656642
727	3790.507738
728	3790.309147
729	3790.185526
730	3789.877267
731	3789.676284
732	3789.169151
733	3789.072941
734	3788.914617
735	3788.827696
736	3788.797761
737	3788.756415
738	3788.559673
739	3788.515416
740	3788.393384
741	3788.163481
742	3787.914699
743	3787.79328
744	3787.548885
745	3787.399808
746	3787.202878
747	3786.931626
748	3786.887406
749	3786.792761
750	3786.709576
751	3786.232397
752	3786.091555
753	3786.008692
754	3785.673148
755	3785.521088
756	3785.362534
757	3785.191524
758	3785.089715
759	3784.914612
760	3784.673509
761	3784.431369
762	3784.309055
763	3784.062817
764	3784.031771
765	3783.874139
766	3783.833375
767	3783.771806
768	3783.61112
769	3783.404522
770	3783.353949
771	3783.325288
772	3783.087521
773	3783.008046
774	3782.971378
775	3782.832484
776	3782.77748
777	3782.56482
778	3782.449496
779	3782.358147
780	3782.279041
781	3782.243527
782	3781.879376
783	3781.721141
784	3781.33151
785	3781.22552
786	3780.980842
787	3780.820773
788	3780.577617
789	3780.375695
790	3780.330949
791	3780.104102
792	3779.894939
793	3779.788109
794	3779.585794
795	3779.296031
796	3779.095943
797	3778.989584
798	3778.819184
799	3778.690508
800	3778.55306
801	3778.289681
802	3777.869696
803	3777.702794
804	3777.523505
805	3777.120354
806	3776.920421
807	3776.863709
808	3776.79098
809	3776.722677
810	3776.612608
811	3776.259832
812	3775.985107
813	3775.856072
814	3775.798838
815	3775.7185
816	3775.679237
817	3775.5569
818	3775.272756
819	3775.095346
820	3774.940276
821	3774.717538
822	3774.543438
823	3774.514305
824	3774.359628
825	3774.26807
826	3773.9861
827	3773.910848
828	3773.787181
829	3773.715989
830	3773.683857
831	3773.553976
832	3773.471903
833	3773.363779
834	3773.212944
835	3773.159849
836	3773.077228
837	3772.989795
838	3772.8693
839	3772.732163
840	3772.450154
841	3772.099183
842	3772.081501
843	3771.977888
844	3771.835058
845	3771.532824
846	3771.410778
847	3771.286962
848	3771.05082
849	3770.980229
850	3770.763209
851	3770.748084
852	3770.428743
853	3770.130249
854	3770.077378
855	3770.030812
856	3769.902266
857	3769.811761
858	3769.660188
859	3769.187964
860	3768.949306
861	3768.79755
862	3768.716123
863	3768.522149
864	3768.112856
865	3767.954788
866	3767.783207
867	3767.644755
868	3767.50937
869	3767.44168
870	3767.415534
871	3767.341748
872	3767.285081
873	3767.229299
874	3767.183598
875	3767.08229
876	3766.68266
877	3766.56705
878	3766.538454
879	3766.476207
880	3766.454389
881	3766.422532
882	3766.290974
883	3766.004224
884	3765.842
885	3765.770835
886	3765.66458
887	3765.649043
888	3765.404075
889	3765.218532
890	3765.077705
891	3764.709058
892	3764.44684
893	3763.839057
894	3763.722811
895	3763.592287
896	3763.185606
897	3762.957075
898	3762.924003
899	3762.895305
900	3762.57162
901	3762.304756
902	3762.223157
903	3762.027081
904	3761.69985
905	3761.62969
906	3761.328093
907	3761.086988
908	3760.930136
909	3760.793869
910	3760.635518
911	3760.423412
912	3760.210248
913	3760.103229
914	3760.038445
915	3759.805238
916	3759.732105
917	3759.639424
918	3759.474318
919	3758.797138
920	3758.422484
921	3758.248054
922	3758.002293
923	3757.730201
924	3757.682003
925	3757.565702
926	3757.525469
927	3757.353934
928	3757.130469
929	3757.00415
930	3756.717059
931	3756.31528
932	3756.213076
933	3755.825609
934	3755.635271
935	3755.612158
936	3755.277903
937	3755.172464
938	3755.076453
939	3754.870557
940	3754.7525
941	3754.496183
942	3754.107109
943	3753.980954
944	3753.925069
945	3753.7999
946	3753.584157
947	3753.372676
948	3753.128749
949	3752.934952
950	3752.815165
951	3752.641064
952	3752.338905
953	3752.153943
954	3752.129685
955	3751.751322
956	3751.682759
957	3751.236067
958	3751.087857
959	3750.986262
960	3750.918923
961	3750.69187
962	3750.236515
963	3750.062864
964	3749.915006
965	3749.867869
966	3749.691409
967	3749.669294
968	3749.413356
969	3749.400805
970	3749.222289
971	3749.012295
972	3748.823274
973	3748.66726
974	3748.480445
975	3748.439405
976	3748.243595
977	3748.202303
978	3748.103533
979	3748.005498
980	3747.818725
981	3747.696109
982	3747.611949
983	3747.392536
984	3747.219792
985	3747.134534
986	3746.817002
987	3746.799029
988	3746.513314
989	3746.394734
990	3746.36702
991	3746.311635
992	3746.226748
993	3745.849169
994	3745.729567
995	3745.469095
996	3745.278442
997	3745.120154
998	3744.83739
999	3744.542341
